file,line,class_physical,rule,priority,context
apps/web/src/components/layout/CheckoutHeader.tsx,46,ml-2,ml->ms,P0,"<span className=""ml-2 hidden sm:inline"">Retour au panier</span>"
apps/web/src/components/layout/CheckoutHeader.tsx,47,ml-2,ml->ms,P0,"<span className=""ml-2 sm:hidden"">Panier</span>"
apps/web/src/components/layout/Header.tsx,109,right-0,right->end,P0,"className=""pointer-events-auto absolute right-0 top-full mt-2 inline-flex items-center gap-2 whitespace-nowrap bg-encre px-3 py-1.5 font-body text-[10px] uppercase tracking-[0.18em] text-creme shadow-"
apps/web/src/components/kit/VideoPosterCover.tsx,209,left-1,left->start,P0,"className=""absolute left-1/2 top-1/2 -translate-x-1/2 -translate-y-1/2 grid h-16 w-16 place-items-center rounded-full shadow-lg motion-safe:transition-transform motion-safe:group-hover:scale-110"""
apps/web/src/components/kit/VideoPosterCover.tsx,221,left-3,left->start,P0,"className=""absolute bottom-3 left-3 inline-flex items-center rounded-sm bg-[#2C2A28]/80 px-2 py-1 font-body text-[11px] uppercase tracking-[0.18em] text-creme [font-variant-numeric:tabular-nums]"""
apps/web/src/components/kit/VideoChapters.tsx,86,text-left,text-left->text-start,P0,"<ol className=""grid grid-cols-4 gap-x-3 gap-y-1 text-left [font-variant-numeric:tabular-nums]"">"
apps/web/src/components/kit/VideoChapters.tsx,97,text-left,text-left->text-start,P0,"className=""group block w-full text-left focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-[#C8A876] focus-visible:ring-offset-2 focus-visible:ring-offset-[#E8EDE3] rounded-sm"""
apps/web/src/components/kit/CompositionCard.tsx,112,ml-2,ml->ms,P0,"<span className=""ml-2 align-baseline font-body text-base text-stone-500 [font-variant-numeric:tabular-nums]"">"
apps/web/src/components/kit/NumberBadge.tsx,32,left-3,left->start,P0,"'absolute -top-3 -left-3 z-10 inline-flex h-9 w-9 items-center justify-center',"
apps/web/src/components/tracking/DebugOverlay.tsx,21,right-4,right->end,P0,"<div className=""fixed bottom-4 right-4 z-[60] max-h-72 w-80 overflow-auto rounded-xl border border-stone-300 bg-white/95 p-3 text-xs shadow-xl backdrop-blur"">"
apps/web/src/components/tracking/ConsentBanner.tsx,159,ml-auto,ml->ms,P0,"className=""ml-auto rounded-full bg-stone-900 px-4 py-2 text-sm text-white hover:bg-stone-800"""
apps/web/src/components/checkout/wizard/WizardStepIndicator.tsx,91,ml-1,ml->ms,P0,"className=""ml-1 text-[10px] text-encre/45 tabular-nums"""
apps/web/src/components/checkout/wizard/ResumeBanner.tsx,82,ml-2,ml->ms,P0,"className=""-mr-1 ml-2 inline-flex h-6 w-6 shrink-0 items-center justify-center rounded text-encre/50 hover:text-encre focus-visible:outline focus-visible:outline-2 focus-visible:outline-encre/40"""
apps/web/src/components/checkout/wizard/ResumeBanner.tsx,82,mr-1,mr->me,P0,"className=""-mr-1 ml-2 inline-flex h-6 w-6 shrink-0 items-center justify-center rounded text-encre/50 hover:text-encre focus-visible:outline focus-visible:outline-2 focus-visible:outline-encre/40"""
apps/web/src/components/checkout/wizard/WizardCheckmark.tsx,14,right-0,right->end,P0,/** Classe additionnelle pour positionnement (ex. `absolute top-0 right-0`). */
apps/web/src/components/checkout/wizard/components/CityAutocomplete.tsx,475,text-right,text-right->text-end,P0,"<div className=""flex justify-end text-right"">"
apps/web/src/components/checkout/wizard/components/CityAutocomplete.tsx,487,text-right,text-right->text-end,P0,"<div className=""text-right text-encre/45"">"
apps/web/src/components/checkout/wizard/steps/LeadCaptureStep.tsx,287,ml-2,ml->ms,P0,"className=""ml-2"""
apps/web/src/components/checkout/wizard/steps/LeadCaptureStep.tsx,335,right-2,right->end,P0,"<span className=""pointer-events-none absolute right-2 top-0 inline-flex"">"
apps/web/src/components/checkout/wizard/steps/LeadCaptureStep.tsx,376,right-2,right->end,P0,"<span className=""pointer-events-none absolute right-2 top-0 inline-flex"">"
apps/web/src/components/sections/rituals/RitualPhotoLightbox.tsx,101,left-4,left->start,P0,"<header className=""absolute top-4 right-4 left-4 flex items-center justify-between"">"
apps/web/src/components/sections/rituals/RitualPhotoLightbox.tsx,101,right-4,right->end,P0,"<header className=""absolute top-4 right-4 left-4 flex items-center justify-between"">"
apps/web/src/components/sections/rituals/RitualPhotoLightbox.tsx,124,left-4,left->start,P0,"className=""absolute left-4 z-10 inline-flex h-12 w-12 items-center justify-center bg-white/10 text-white hover:bg-white/20"""
apps/web/src/components/sections/rituals/RitualPhotoLightbox.tsx,133,right-4,right->end,P0,"className=""absolute right-4 z-10 inline-flex h-12 w-12 items-center justify-center bg-white/10 text-white hover:bg-white/20"""
apps/web/src/components/sections/rituals/RitualPhotoLightbox.tsx,152,left-4,left->start,P0,"<footer className=""absolute bottom-4 left-4 right-4 text-center font-cormorant text-sm italic text-white/80"">"
apps/web/src/components/sections/rituals/RitualPhotoLightbox.tsx,152,right-4,right->end,P0,"<footer className=""absolute bottom-4 left-4 right-4 text-center font-cormorant text-sm italic text-white/80"">"
apps/web/src/components/sections/rituals/RitualsWallDrawer.tsx,226,ml-auto,ml->ms,P0,"className=""relative ml-auto flex h-full w-full max-w-[480px] flex-col overflow-y-auto bg-creme"""
apps/web/src/components/sections/rituals/RitualCard.tsx,123,mr-4,mr->me,P0,"className=""float-left mr-4 mb-3 block h-20 w-20 overflow-hidden border border-[var(--ritual-card-border-color)]"""
apps/web/src/components/sections/rituals/RitualCard.tsx,123,float-left,float-left->float-start,P0,"className=""float-left mr-4 mb-3 block h-20 w-20 overflow-hidden border border-[var(--ritual-card-border-color)]"""
apps/web/src/components/sections/rituals/RitualCard.tsx,140,mr-4,mr->me,P0,"<div className=""float-left mr-4 mb-3 block h-20 w-20 overflow-hidden border border-[var(--ritual-card-border-color)]"">"

=== AUDIT RTL — STATISTIQUES ===
Total occurrences : 107
Par règle :
  right->end                                 28
  left->start                                21
  ml->ms                                     17
  text-left->text-start                      13
  pl->ps                                     12
  text-right->text-end                        8
  mr->me                                      3
  border-l->border-s                          2
  float-left->float-start                     2
  pr->pe                                      1
Par priorité :
  P0 : 107
  P1 : 0
  P2 : 0
apps/web/src/components/sections/rituals/RitualCard.tsx,140,float-left,float-left->float-start,P0,"<div className=""float-left mr-4 mb-3 block h-20 w-20 overflow-hidden border border-[var(--ritual-card-border-color)]"">"
apps/web/src/components/sections/hero/HeroGalleryMain.tsx,53,right-2,right->end,P0,"<figcaption className=""absolute bottom-2 right-2 rounded-full bg-encre/70 px-2 py-1 text-[11px] font-medium uppercase tracking-wider text-creme-warm"">"
apps/web/src/components/sections/hero/HeroGalleryThumbnails.tsx,29,pr-1,pr->pe,P0,"'flex max-h-[600px] flex-col gap-3 overflow-y-auto pr-1',"
apps/web/src/components/sections/hero/HeroGalleryArrow.tsx,60,left-3,left->start,P0,"direction === 'prev' ? 'left-3' : 'right-3',"
apps/web/src/components/sections/hero/HeroGalleryArrow.tsx,60,right-3,right->end,P0,"direction === 'prev' ? 'left-3' : 'right-3',"
apps/web/src/components/sections/rituals/wizard/RitualsWizard.tsx,653,left-1,left->start,P0,"<span className=""absolute bottom-1 left-1 right-1 bg-rose-700 px-1 py-0.5 text-center text-[10px] text-white"">"
apps/web/src/components/sections/rituals/wizard/RitualsWizard.tsx,653,right-1,right->end,P0,"<span className=""absolute bottom-1 left-1 right-1 bg-rose-700 px-1 py-0.5 text-center text-[10px] text-white"">"
apps/web/src/components/sections/rituals/wizard/RitualsWizard.tsx,658,left-1,left->start,P0,"<span className=""absolute bottom-1 left-1 right-1 bg-amber-600 px-1 py-0.5 text-center text-[10px] text-white"">"
apps/web/src/components/sections/rituals/wizard/RitualsWizard.tsx,658,right-1,right->end,P0,"<span className=""absolute bottom-1 left-1 right-1 bg-amber-600 px-1 py-0.5 text-center text-[10px] text-white"">"
apps/web/src/components/sections/rituals/wizard/RitualsWizard.tsx,666,right-0,right->end,P0,"className=""absolute right-0 top-0 inline-flex h-6 w-6 items-center justify-center bg-white/90 text-xs text-encre hover:bg-rose-100"""
apps/web/src/components/commerce/steps/InfoStep.tsx,106,ml-1,ml->ms,P0,"Téléphone <span aria-hidden=""true"" className=""ml-1 text-encre/50"">*</span>"
apps/web/src/components/commerce/steps/InfoStep.tsx,180,pl-7,pl->ps,P0,"<p role=""alert"" className=""pl-7 text-xs text-petale-dark"">"
apps/web/src/app/[locale]/legal/[slug]/page.tsx,177,pl-4,pl->ps,P0,<li key={h.id} className={h.depth === 3 ? 'pl-4' : ''}>
